standard.orth	phonetic.orth	standard.phones	zipf	fpmw
shouts	shoots	SH AW1 T S	3.57	3.67545530944354
proudly	proodly	P R AW1 D L IY0	3.56	3.59598600545557
scouts	scoots	S K AW1 T S	3.54	3.44698106047813
profoundly	profoondly	P R OW0 F AW1 N D L IY0	3.53	3.37247858798941
youse	yoose	Y AW1 S	3.52	3.27314195800445
grouse	groose	G R AW1 S	3.5	3.1340706760255
loudly	loodly	L AW1 D L IY0	3.5	3.1340706760255
outright	ootright	AW1 T R AY1 T	3.5	3.15393800202249
towels	tooels	T AW1 AH0 L Z	3.5	3.14897117052325
bounds	boonds	B AW1 N D Z	3.49	3.09930285553077
downtown	doontown	D AW1 N T AW0 N	3.49	3.07943552953377
pounding	poonding	P AW1 N D IH0 NG	3.49	3.11420335002851
bouncer	booncer	B AW1 N S ER0	3.48	3.03473404604054
founding	foonding	F AW1 N D IH0 NG	3.48	2.99003256254731
housed	hoosed	HH AW1 Z D	3.48	3.03473404604054
outgoing	ootgoing	AW1 T G OW2 IH0 NG	3.48	3.04963454053829
bowel	booel	B AW1 AH0 L	3.47	2.95526474205257
outlay	ootlay	AW1 T L EY2	3.47	2.95029791055332
housewife	hoosewife	HH AW1 S W AY2 F	3.46	2.8857291010631
counsel	coonsel	K AW1 N S AH0 L	3.45	2.81122662857438
encounters	encoonters	EH0 N K AW1 N ER0 Z	3.44	2.7714919765804
mouthful	moothful	M AW1 TH F UH2 L	3.44	2.74665781908416
ounce	oonce	AW1 N S	3.44	2.77645880807964
accounting	accoonting	AH0 K AW1 N IH0 NG	3.43	2.67712217809468
dow	doo	D AW1	3.43	2.69202267259243
fowl	fool	F AW1 L	3.43	2.70195633559092
mound	moond	M AW1 N D	3.43	2.68208900959393
outset	ootset	AW1 T S EH2 T	3.43	2.67215534659544
vows	voos	V AW1 Z	3.43	2.69698950409168
pronounced	pronoonced	P R AH0 N AW1 N S T	3.42	2.61752020010371
bounces	boonces	B AW1 N S AH0 Z	3.41	2.58275237960897
counterparts	coonterparts	K AW1 N ER0 P AA2 R T S	3.41	2.54301772761499
outing	ooting	AW1 T IH0 NG	3.41	2.54798455911423
thereabouts	thereaboots	DH EH2 R AH0 B AW1 T S	3.41	2.55295139061348
clowns	cloons	K L AW1 N Z	3.4	2.50824990712025
fowler	fooler	F AW1 L ER0	3.39	2.44368109763003
ounces	oonces	AW1 N S AH0 Z	3.39	2.45858159212777
downfall	doonfall	D AW1 N F AO2 L	3.38	2.3791122881398
lough	loogh	L AW1	3.38	2.41884694013379
sprout	sproot	S P R AW1 T	3.38	2.41388010863454
brownlee	broonlee	B R AW1 N L IY0	3.37	2.31454347864958
dowler	dooler	D AW1 L ER0	3.37	2.33937763614582
nowt	noot	N AW1 T	3.36	2.29964298415183
pouch	pooch	P AW1 CH	3.36	2.28970932115334
soundtrack	soondtrack	S AW1 N D T R AE2 K	3.36	2.27480882665559
towering	tooering	T AW1 ER0 IH0 NG	3.36	2.30957664715033
crouch	crooch	K R AW1 CH	3.35	2.22017368016387
lousy	loosy	L AW1 Z IY0	3.35	2.25990833215785
bows	boos	B AW1 Z	3.34	2.19037269116838
doubting	doobting	D AW1 T IH0 NG	3.34	2.20527318566612
downwards	doonwards	D AW1 N W ER0 D Z	3.34	2.17547219667063
howling	hooling	HH AW1 L AH0 N	3.34	2.20030635416687
lowry	loory	L AW1 R IY0	3.34	2.17547219667063
outraged	ootraged	AW1 T R EY2 JH D	3.34	2.20527318566612
powerless	pooerless	P AW1 ER0 L AH0 S	3.34	2.16057170217289
counsellor	coonsellor	K AW1 N S AH0 L ER0	3.33	2.12580388167815
astounding	astoonding	AH0 S T AW1 N D IH0 NG	3.32	2.08606922968417
bounty	boonty	B AW1 N T IY0	3.32	2.08606922968417
doubted	doobted	D AW1 T AH0 D	3.32	2.09103606118342
browne	broone	B R AW1 N	3.31	2.0165335886947
downgraded	doongraded	D AW1 N G R EY0 D AH0 D	3.31	2.0165335886947
howell	hooell	HH AW1 AH0 L	3.31	2.0165335886947
ploughed	plooghed	P L AW1 D	3.31	2.03640091469169
surrounds	surroonds	S ER0 AW1 N D Z	3.31	2.05130140918943
downsize	doonsize	D AW1 N S AY2 Z	3.3	1.99169943119846
overpowering	overpooering	OW1 V ER0 P AW1 R IH0 NG	3.3	1.97183210520146
superpower	superpooer	S UW2 P ER0 P AW1 ER0	3.3	2.01156675719545
brownie	broonie	B R AW1 N IY0	3.29	1.95196477920447
downward	doonward	D AW1 N W ER0 D	3.29	1.94699794770522
brow	broo	B R AW1	3.28	1.92216379020898
clough	cloogh	K L AW1	3.28	1.89732963271274
countess	coontess	K AW1 N T AH0 S	3.28	1.91223012721049
gower	gooer	G AW1 ER0	3.28	1.89732963271274
howl	hool	HH AW1 L	3.28	1.91223012721049
mounts	moonts	M AW1 N T S	3.28	1.90229646421199
outlet	ootlet	AW1 T L EH2 T	3.28	1.91719695870974
ploughing	plooghing	P L AW1 IH0 NG	3.28	1.91719695870974
stout	stoot	S T AW1 T	3.28	1.88739596971425
announces	annoonces	AH0 N AW1 N S AH0 Z	3.27	1.86256181221801
compounds	compoonds	K AH0 M P AW1 N D Z	3.27	1.86752864371726
downsizing	doonsizing	D AW1 N S AY2 Z IH0 NG	3.27	1.85759498071876
loudest	loodest	L AW1 D AH0 S T	3.27	1.85262814921951
outlaw	ootlaw	AW1 T L AO2	3.27	1.87746230671575
run-down	run-doon	R AH1 N D AW1 N	3.27	1.86752864371726
vouchers	voochers	V AW1 CH ER0 Z	3.27	1.85262814921951
howe	hooe	HH AW1	3.26	1.80295983422703
accountants	accoontants	AH0 K AW1 N T AH0 N T S	3.25	1.78309250823004
brownies	broonies	B R AW1 N IY0 Z	3.25	1.7582583507338
housekeeper	hoosekeeper	HH AW1 S K IY2 P ER0	3.25	1.79302617122854
scour	scoor	S K AW1 ER0	3.25	1.7681920137323
powerhouse	pooerhouse	P AW1 ER0 HH AW2 S	3.24	1.74335785623606
prowess	prooess	P R AW1 AH0 S	3.24	1.7483246877353
rebound	reboond	R IY0 B AW1 N D	3.24	1.72349053023906
vowed	vooed	V AW1 D	3.24	1.74335785623606
browse	broose	B R AW1 Z	3.23	1.68375587824508
counterpart	coonterpart	K AW1 N ER0 P AA2 R T	3.23	1.69368954124358
groundbreaking	groondbreaking	G R AW1 N B R EY2 K IH0 NG	3.23	1.70859003574132
outspoken	ootspoken	AW1 T S P OW1 K AH0 N	3.23	1.69865637274282
scouring	scooring	S K AW1 ER0 IH0 NG	3.23	1.71355686724057
all-out	all-oot	AO2 L AW1 T	3.22	1.65395488924959
outdated	ootdated	AW1 T D EY2 T AH0 D	3.22	1.65395488924959
powering	pooering	P AW1 ER0 IH0 NG	3.22	1.6440212262511
trouser	trooser	T R AW1 Z ER0	3.22	1.65892172074884
fountains	foontains	F AW1 N T AH0 N Z	3.21	1.62912073175335
frown	froon	F R AW1 N	3.21	1.61918706875486
hounds	hoonds	HH AW1 N D Z	3.21	1.60428657425711
housework	hoosework	HH AW1 S W ER2 K	3.21	1.61918706875486
powdered	poodered	P AW1 D ER0 D	3.21	1.61918706875486
spout	spoot	S P AW1 T	3.21	1.61918706875486
discounts	discoonts	D IH2 S K AW1 N T S	3.2	1.56455192226313
vow	voo	V AW1	3.2	1.58938607975937
vowels	vooels	V AW1 AH0 L Z	3.2	1.58441924826012
browning	brooning	B R AW1 N IH0 NG	3.19	1.53475093326764
doubtful	doobtful	D AW1 T F AH0 L	3.19	1.55958509076388
downstream	doonstream	D AW1 N S T R IY2 M	3.19	1.52978410176839
howdy	hoody	HH AW1 D IY0	3.19	1.54468459626613
pounce	poonce	P AW1 N S	3.19	1.53971776476689
resounding	resoonding	R IY0 S AW1 N D IH0 NG	3.19	1.52978410176839
ultrasound	ultrasoond	AH2 L T R AH0 S AW1 N D	3.19	1.53971776476689
voucher	voocher	V AW1 CH ER0	3.19	1.54468459626613
accounted	accoonted	AH0 K AW1 N AH0 D	3.18	1.51488360727065
founders	foonders	F AW1 N D ER0 Z	3.18	1.5099167757714
crowns	croons	K R AW1 N Z	3.17	1.46024846077892
mcdowell	mcdooell	M AH0 K D AW1 AH0 L	3.17	1.49004944977441
outback	ootback	AW1 T B AE2 K	3.17	1.46521529227817
outlets	ootlets	AW1 T L EH2 T S	3.17	1.48011578677591
clout	cloot	K L AW1 T	3.16	1.44038113478193
crowning	crooning	K R AW1 N IH0 NG	3.16	1.42548064028418
rowdy	roody	R AW1 D IY0	3.16	1.43044747178343
wowed	wooed	W AW1 D	3.16	1.44534796628117
bowed	booed	B AW1 D	3.15	1.41058014578644
outwards	ootwards	AW1 T W ER0 D Z	3.15	1.42051380878493
trowel	trooel	T R AW1 W EH0 L	3.15	1.41058014578644
rounding	roonding	R AW1 N D IH0 NG	3.14	1.38077915679095
scouting	scooting	S K AW1 T AH0 N	3.14	1.39071281978945
downloaded	doonloaded	D AW1 N L OW2 D AH0 D	3.13	1.34601133629621
proudest	proodest	P R AW1 D AH0 S T	3.13	1.33111084179847
browns	broons	B R AW1 N Z	3.12	1.30627668430223
flowery	flooery	F L AW1 ER0 IY0	3.12	1.31124351580148
housewives	hoosewives	HH AW1 S W AY2 V Z	3.12	1.32614401029922
mounds	moonds	M AW1 N D Z	3.12	1.31621034730073
southport	soothport	S AW1 TH P AO2 R T	3.12	1.32614401029922
bowels	booels	B AW1 AH0 L Z	3.11	1.28640935830524
browsing	broosing	B R AW1 Z IH0 NG	3.11	1.29634302130373
outcry	ootcry	AW1 T K R AY2	3.11	1.29137618980449
outward	ootward	AW1 T W ER0 D	3.11	1.28144252680599
stroud	strood	S T R AW1 D	3.11	1.27647569530674
tout	toot	T AW1 T	3.11	1.29634302130373
